airport_id,month,tavg,prcp,wspd,pres
BFL,2,9.72,2.21,9.18,1018.48
BFL,3,11.86,2.44,9.45,1016.58
BFL,4,17.4,0.0,9.63,1015.98
BFL,5,21.57,0.12,11.44,1012.21
BFL,6,23.88,0.31,11.15,1011.3
BFL,7,31.06,0.0,10.28,1010.91
BFL,8,28.98,0.88,9.96,1011.23
BFL,9,24.81,0.0,8.85,1012.24
BFL,10,20.56,0.25,7.68,1013.59
BFL,11,14.74,0.02,7.5,1017.68
BFL,12,11.59,0.52,6.14,1019.38
BGM,1,-0.21,2.76,13.45,1014.94
BGM,2,-1.11,1.72,14.96,1016.15
BGM,3,0.52,2.22,15.89,1015.25
BGM,4,10.32,3.63,13.81,1015.55
BGM,5,13.68,0.58,12.45,1016.85
BGM,6,18.06,4.27,10.91,1011.33
BGM,7,21.85,4.83,9.05,1013.28
BGM,8,19.24,6.01,10.96,1013.85
BGM,9,16.67,2.51,9.74,1019.06
BGM,10,12.05,3.41,11.16,1014.36
BGM,11,3.27,1.14,13.17,1019.1
BGM,12,2.66,4.91,11.7,1018.55
BGR,1,-1.95,4.77,12.41,1014.42
BGR,2,-5.32,1.06,11.94,1016.07
BGR,3,1.17,1.42,14.49,1012.97
BGR,4,7.2,1.6,12.52,1017.06
BGR,5,13.1,2.42,15.31,1014.41
BGR,6,16.46,4.95,11.09,1011.26
BGR,7,22.44,3.26,10.02,1012.25
BGR,8,19.37,5.1,10.65,1012.2
BGR,9,17.43,3.0,8.85,1017.44
BGR,10,12.53,5.36,10.09,1012.49
BGR,11,1.86,2.2,10.97,1017.52
BGR,12,-0.12,5.74,10.79,1018.84
BHM,1,10.85,6.65,11.48,1019.77
BHM,2,13.0,4.1,12.0,1020.11
BHM,3,14.53,3.85,12.06,1018.46
BHM,4,17.71,5.82,11.32,1016.89
BHM,5,21.55,2.68,9.27,1016.4
BHM,6,25.53,1.25,8.41,1011.92
BHM,7,27.32,4.8,7.08,1016.35
BHM,8,27.5,5.63,6.78,1014.96
BHM,9,24.48,1.64,6.21,1016.78
BHM,10,19.1,0.24,9.31,1017.58
BHM,11,12.83,0.78,8.28,1021.26
BHM,12,9.77,3.86,9.08,1021.89
BIH,1,2.16,4.55,14.5,1017.69
BIH,2,3.04,1.03,14.85,1016.26
BIH,3,5.09,3.25,14.5,1012.53
BIH,4,13.31,0.0,13.82,1012.8
BIH,5,18.19,0.0,14.08,1009.33
BIH,6,20.84,0.62,12.85,1009.43
BIH,7,28.15,0.11,11.06,1010.89
BIH,8,23.88,1.71,13.1,1012.56
BIH,9,21.29,0.31,13.59,1012.84
BIH,10,14.05,0.15,11.29,1014.63
BIH,11,6.81,0.06,12.38,1018.88
BIH,12,4.52,0.3,9.26,1019.93
BIL,1,-1.31,0.41,19.66,1017.3
BIL,2,-2.13,0.59,23.27,1015.38
BIL,3,-2.02,1.24,14.19,1015.8
BIL,4,6.91,0.66,17.12,1014.48
BIL,5,15.57,2.35,12.99,1014.14
BIL,6,17.39,5.38,12.25,1012.83
BIL,7,22.88,0.45,13.52,1014.39
BIL,8,22.73,1.05,14.43,1014.7
BIL,9,18.02,0.49,13.94,1014.13
BIL,10,8.1,1.66,15.25,1018.74
BIL,11,4.93,0.04,19.04,1017.93
BIL,12,2.57,0.27,22.16,1018.57
BIS,1,-10.06,0.16,9.91,1018.84
BIS,2,-8.11,0.76,13.78,1016.52
BIS,3,-8.75,1.29,15.48,1020.9
BIS,4,2.52,0.54,17.8,1015.9
BIS,5,16.37,2.47,12.99,1015.43
BIS,6,21.45,3.86,12.26,1012.06
BIS,7,21.17,1.14,12.46,1014.35
BIS,8,21.3,2.51,12.54,1014.52
BIS,9,17.32,2.53,11.61,1015.02
BIS,10,7.27,1.44,15.52,1017.82
BIS,11,0.45,0.1,12.03,1018.15
BIS,12,-2.08,0.36,12.08,1018.23
BJI,1,-10.19,0.28,9.34,1014.35
BJI,2,-10.14,0.65,12.71,1013.02
BJI,3,-6.72,1.47,13.07,1017.48
BJI,4,2.14,1.57,14.72,1012.79
BJI,5,15.05,2.01,13.11,1016.83
BJI,6,19.53,2.52,10.85,1013.62
BJI,7,18.41,1.9,9.78,1013.96
BJI,8,18.77,1.8,10.86,1014.86
BJI,9,16.34,2.74,11.36,1015.93
BJI,10,7.15,1.88,12.29,1015.03
BJI,11,-1.3,0.38,13.62,1015.0
BJI,12,-2.16,1.67,11.74,1015.1
BLI,1,5.98,1.91,10.89,1017.12
BLI,2,4.27,2.92,12.96,1016.77
BLI,3,6.55,2.48,9.75,1013.43
BLI,4,8.87,2.98,11.44,1016.9
BLI,5,14.92,0.61,10.05,1016.47
BLI,6,15.43,0.8,11.1,1017.29
BLI,7,18.15,0.57,11.23,1017.81
BLI,8,18.49,0.72,8.25,1016.99
BLI,9,14.95,1.39,7.94,1016.23
BLI,10,10.4,3.06,7.54,1017.97
BLI,11,5.6,4.93,7.44,1019.16
BLI,12,6.27,5.27,7.92,1016.23
BLV,1,3.89,2.24,12.48,1017.24
BLV,2,5.82,1.97,12.18,1017.6
BLV,3,7.19,5.64,14.56,1017.38
BLV,4,14.22,2.11,12.87,1015.24
BLV,5,19.92,1.57,9.31,1015.86
BLV,6,24.25,2.29,8.39,1011.13
BLV,7,26.31,2.45,7.7,1013.63
BLV,8,25.14,4.89,7.87,1014.19
BLV,9,21.51,2.18,6.82,1016.87
BLV,10,14.99,1.75,10.34,1016.33
